CALENDAR,,,,,CALENDARDATE,,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,DESCRIPTION,,
,,,,,2022-04-18,,,
,,,,,2022-05-09,,,
,,,,,2022-05-26,,,
,,,,,2022-06-16,,,
,,,,,2022-10-03,,,
,,,,,2022-11-01,,,
,,,,,2022-12-26,,,
,,,,,2023-04-07,,,
,,,,,2023-04-10,,,
,,,,,2023-05-01,,,
,,,,,2023-05-29,,,
,,,,,2023-12-26,,,
,,,,,2024-03-29,,,
,,,,,2024-04-01,,,
,,,,,2024-05-01,,,
,,,,,2024-12-26,,,
HKHK,Hong Kong,Hong Kong,,192,2009-01-01,New Year's Day,,
,,,,,1993-01-01,New Year's Day,,
,,,,,1993-01-22,Lunar New Year 1,,
,,,,,1993-01-23,Lunar New Year 2,,
,,,,,1993-01-25,Lunar New Year 3,,
,,,,,1993-04-05,Ching Ming Festival,,
,,,,,1993-04-09,Good Friday,,
,,,,,1993-04-10,Holy Saturday,,
,,,,,1993-04-12,Easter Monday,,
,,,,,1993-06-12,Queen's Birthday,,
,,,,,1993-06-14,Monday After Queen's Birthday,,
,,,,,2009-05-28,Tuen Ng Day*,,
,,,,,1993-06-24,Tuen Ng Day*,,
,,,,,1993-08-28,Saturday Preceding Liberation Day,,
,,,,,1993-08-30,Liberation Day,,
,,,,,1993-10-01,Day Following Mid-autumn Festival*,,
,,,,,1993-10-23,Chung Yeung Day*,,
,,,,,1993-12-25,Christmas Day,,
,,,,,1993-12-27,Christmas Holiday OBS,,
,,,,,1994-01-01,New Year's Day,,
,,,,,1994-02-10,Lunar New Year 1,,
,,,,,1994-02-11,Lunar New Year 2,,
,,,,,2009-07-01,SAR Establishment Day,,
,,,,,1994-02-12,Lunar New Year 3,,
,,,,,1994-04-01,Good Friday,,
,,,,,1994-04-02,Holy Saturday,,
,,,,,1994-04-04,Easter Monday,,
,,,,,1994-04-05,Ching Ming Festival,,
,,,,,1994-06-11,Queen's Birthday,,
,,,,,1994-06-13,"Tuen Ng Day*,Monday After Queen's Birth",,
,,,,,1994-08-27,Saturday Preceding Liberation Day,,
,,,,,1994-08-29,Liberation Day,,
,,,,,1994-09-21,Day Following Mid-autumn Festival*,,
,,,,,2009-10-01,Chinese National Day,,
,,,,,1994-10-13,Chung Yeung Day*,,
,,,,,1994-12-26,Christmas Holiday,,
,,,,,1994-12-27,Christmas Day OBS,,
,,,,,1995-01-02,New Year's Day OBS,,
,,,,,1995-01-31,Lunar New Year 1,,
,,,,,1995-02-01,Lunar New Year 2,,
,,,,,1995-02-02,Lunar New Year 3,,
,,,,,1995-04-05,Ching Ming Festival,,
,,,,,1995-04-14,Good Friday,,
,,,,,1995-04-15,Holy Saturday,,
,,,,,2009-10-03,Day Following Mid-autumn Festival*,,
,,,,,1995-04-17,Easter Monday,,
,,,,,1995-06-02,Tuen Ng Day*,,
,,,,,1995-06-17,Queen's Birthday,,
,,,,,1995-06-19,Monday After Queen's Birthday,,
,,,,,1995-08-26,Saturday Preceding Liberation Day,,
,,,,,1995-08-28,Liberation Day,,
,,,,,1995-09-09,Day Following Mid-autumn Festival*,,
,,,,,1995-11-01,Chung Yeung Day*,,
,,,,,1995-12-25,Christmas Day,,
,,,,,1995-12-26,Christmas Holiday,,
,,,,,2009-10-26,Chung Yeung Day*,,
,,,,,1996-01-01,New Year's Day,,
,,,,,1996-02-19,Lunar New Year 1,,
,,,,,1996-02-20,Lunar New Year 2,,
,,,,,1996-02-21,Lunar New Year 3,,
,,,,,1996-04-04,Ching Ming Festival,,
,,,,,1996-04-05,Good Friday,,
,,,,,1996-04-06,Holy Saturday,,
,,,,,1996-04-08,Easter Monday,,
,,,,,1996-06-15,Queen's Birthday,,
,,,,,1996-06-17,Monday After Queen's Birthday,,
,,,,,2009-12-25,Christmas Day,,
,,,,,1996-06-20,Tuen Ng Day*,,
,,,,,1996-08-24,Saturday Preceding Liberation Day,,
,,,,,1996-08-26,Liberation Day,,
,,,,,1996-09-28,Day Following Mid-autumn Festival*,,
,,,,,1996-10-21,Chung Yeung Day*,,
,,,,,1996-12-25,Christmas Day,,
,,,,,1996-12-26,Christmas Holiday,,
,,,,,1997-01-01,New Year's Day,,
,,,,,1997-02-06,Lunar New Year 1,,
,,,,,1997-02-07,Lunar New Year 2,,
,,,,,2009-12-26,Christmas Holiday,,
,,,,,1997-02-08,Lunar New Year 3,,
,,,,,1997-03-28,Good Friday,,
,,,,,1997-03-29,Holy Saturday,,
,,,,,1997-03-31,Easter Monday,,
,,,,,1997-04-05,Ching Ming Festival,,
,,,,,1997-06-09,Tuen Ng Day*,,
,,,,,1997-06-28,Queen's Birthday,,
,,,,,1997-06-30,Monday After Queen's Birthday,,
,,,,,1997-07-01,SAR Establishment Day,,
,,,,,1997-07-02,Day Following SAR Establishment Day,,
,,,,,2010-01-01,New Year's Day,,
,,,,,1997-08-18,Sino-Japanese War Victory Day,,
,,,,,1997-09-17,Day Following Mid-autumn Festival*,,
,,,,,1997-10-01,Chinese National Day,,
,,,,,1997-10-02,Day Following National Day,,
,,,,,1997-10-10,Chung Yeung Day*,,
,,,,,1997-12-25,Christmas Day,,
,,,,,1997-12-26,Christmas Holiday,,
,,,,,1998-01-01,New Year's Day,,
,,,,,1998-01-28,Lunar New Year 1,,
,,,,,1998-01-29,Lunar New Year 2,,
,,,,,2010-02-15,Lunar New Year 2,,
,,,,,1998-01-30,Lunar New Year 3,,
,,,,,1998-04-06,Ching Ming Festival,,
,,,,,1998-04-10,Good Friday,,
,,,,,1998-04-11,Holy Saturday,,
,,,,,1998-04-13,Easter Monday,,
,,,,,1998-05-30,Tuen Ng Day*,,
,,,,,1998-07-01,SAR Establishment Day,,
,,,,,1998-08-17,Sino-Japanese War Victory Day,,
,,,,,1998-10-01,Chinese National Day,,
,,,,,1998-10-02,Day Following National Day,,
,,,,,2010-02-16,Lunar New Year 3,,
,,,,,2009-01-26,Lunar New Year 1,,
,,,,,1998-10-06,Day Following Mid-autumn Festival*,,
,,,,,1998-10-28,Chung Yeung Day*,,
,,,,,1998-12-25,Christmas Day,,
,,,,,1998-12-26,Christmas Holiday,,
,,,,,1999-01-01,New Year's Day,,
,,,,,1999-02-16,Lunar New Year 1,,
,,,,,1999-02-17,Lunar New Year 2,,
,,,,,1999-02-18,Lunar New Year 3,,
,,,,,1999-04-02,Good Friday,,
,,,,,1999-04-03,Holy Saturday,,
,,,,,2010-04-02,Good Friday,,
,,,,,1999-04-05,Easter Monday,,
,,,,,1999-04-06,Ching Ming Festival,,
,,,,,1999-05-01,Labour Day,,
,,,,,1999-05-22,Buddha's Birthday*,,
,,,,,1999-06-18,Tuen Ng Day*,,
,,,,,1999-07-01,SAR Establishment Day,,
,,,,,1999-09-25,Day Following Mid-autumn Festival*,,
,,,,,1999-10-01,Chinese National Day,,
,,,,,1999-10-18,Chung Yeung Day*,,
,,,,,1999-12-25,Christmas Day,,
,,,,,2010-04-03,Holy Saturday,,
,,,,,1999-12-27,Christmas Holiday OBS,,
,,,,,2000-01-01,New Year's Day,,
,,,,,2000-02-04,Lunar New Year 1,,
,,,,,2000-02-05,Lunar New Year 2,,
,,,,,2000-02-07,Lunar New Year 3,,
,,,,,2000-04-04,Ching Ming Festival,,
,,,,,2000-04-21,Good Friday,,
,,,,,2000-04-22,Holy Saturday,,
,,,,,2000-04-24,Easter Monday,,
,,,,,2000-05-01,Labour Day,,
,,,,,2010-04-05,Easter Monday,,
,,,,,2000-05-11,Buddha's Birthday*,,
,,,,,2000-06-06,Tuen Ng Day*,,
,,,,,2000-07-01,SAR Establishment Day,,
,,,,,2000-09-13,Day Following Mid-autumn Festival*,,
,,,,,2000-10-02,Chinese National Day OBS,,
,,,,,2000-10-06,Chung Yeung Day*,,
,,,,,2000-12-25,Christmas Day,,
,,,,,2000-12-26,Christmas Holiday,,
,,,,,2001-01-01,New Year's Day,,
,,,,,2001-01-24,Lunar New Year 1,,
,,,,,2010-04-06,Ching Ming Festival,,
,,,,,2001-01-25,Lunar New Year 2,,
,,,,,2001-01-26,Lunar New Year 3,,
,,,,,2001-04-05,Ching Ming Festival,,
,,,,,2001-04-13,Good Friday,,
,,,,,2001-04-14,Holy Saturday,,
,,,,,2001-04-16,Easter Monday,,
,,,,,2001-04-30,Buddha's Birthday*,,
,,,,,2001-05-01,Labour Day,,
,,,,,2001-06-25,Tuen Ng Day*,,
,,,,,2001-07-02,SAR Establishment Day OBS,,
,,,,,2010-05-01,Labour Day,,
,,,,,2001-10-01,Chinese National Day,,
,,,,,2001-10-02,Day Following Mid-autumn Festival*,,
,,,,,2001-10-25,Chung Yeung Day*,,
,,,,,2001-12-25,Christmas Day,,
,,,,,2001-12-26,Christmas Holiday,,
,,,,,2002-01-01,New Year's Day,,
,,,,,2002-02-12,Lunar New Year 1,,
,,,,,2002-02-13,Lunar New Year 2,,
,,,,,2002-02-14,Lunar New Year 3,,
,,,,,2002-03-29,Good Friday,,
,,,,,2010-05-21,Buddha's Birthday*,,
,,,,,2002-03-30,Holy Saturday,,
,,,,,2002-04-01,Easter Monday,,
,,,,,2002-04-05,Ching Ming Festival,,
,,,,,2002-05-01,Labour Day,,
,,,,,2002-05-20,Buddha's Birthday*,,
,,,,,2002-06-15,Tuen Ng Day*,,
,,,,,2002-07-01,SAR Establishment Day,,
,,,,,2002-09-21,Day Following Mid-autumn Festival*,,
,,,,,2002-10-01,Chinese National Day,,
,,,,,2002-10-14,Chung Yeung Day*,,
,,,,,2010-06-16,Tuen Ng Day*,,
,,,,,2002-12-25,Christmas Day,,
,,,,,2002-12-26,Christmas Holiday,,
,,,,,2003-01-01,New Year's Day,,
,,,,,2003-01-31,Lunar New Year 2,,
,,,,,2003-02-01,Lunar New Year 1,,
,,,,,2003-02-03,Lunar New Year 3,,
,,,,,2003-04-05,Ching Ming Festival,,
,,,,,2003-04-18,Good Friday,,
,,,,,2003-04-19,Holy Saturday,,
,,,,,2003-04-21,Easter Monday,,
,,,,,2010-07-01,SAR Establishment Day,,
,,,,,2003-05-01,Labour Day,,
,,,,,2003-05-08,Buddha's Birthday*,,
,,,,,2003-06-04,Tuen Ng Day*,,
,,,,,2003-07-01,SAR Establishment Day,,
,,,,,2003-09-12,Day Following Mid-autumn Festival*,,
,,,,,2003-10-01,Chinese National Day,,
,,,,,2003-10-04,Chung Yeung Day*,,
,,,,,2003-12-25,Christmas Day,,
,,,,,2003-12-26,Christmas Holiday,,
,,,,,2004-01-01,New Year's Day,,
,,,,,2010-09-23,Day Following Mid-autumn Festival*,,
,,,,,2004-01-22,Lunar New Year 1,,
,,,,,2004-01-23,Lunar New Year 2,,
,,,,,2004-01-24,Lunar New Year 3,,
,,,,,2004-04-05,Ching Ming Festival,,
,,,,,2004-04-09,Good Friday,,
,,,,,2004-04-10,Holy Saturday,,
,,,,,2004-04-12,Easter Monday,,
,,,,,2004-05-01,Labour Day,,
,,,,,2004-05-26,Buddha's Birthday*,,
,,,,,2004-06-22,Tuen Ng Day*,,
,,,,,2010-10-01,Chinese National Day,,
,,,,,2009-01-27,Lunar New Year 2,,
,,,,,2004-07-01,SAR Establishment Day,,
,,,,,2004-09-29,Day Following Mid-autumn Festival*,,
,,,,,2004-10-01,Chinese National Day,,
,,,,,2004-10-22,Chung Yeung Day*,,
,,,,,2004-12-25,Christmas Day,,
,,,,,2004-12-27,Christmas Holiday OBS,,
,,,,,2005-01-01,New Year's Day,,
,,,,,2005-02-09,Lunar New Year 1,,
,,,,,2005-02-10,Lunar New Year 2,,
,,,,,2005-02-11,Lunar New Year 3,,
,,,,,2010-10-16,Chung Yeung Day*,,
,,,,,2005-03-25,Good Friday,,
,,,,,2005-03-26,Holy Saturday,,
,,,,,2005-03-28,Easter Monday,,
,,,,,2005-04-05,Ching Ming Festival,,
,,,,,2005-05-02,Labour Day OBS,,
,,,,,2005-05-16,Buddha's Birthday*,,
,,,,,2005-06-11,Tuen Ng Day*,,
,,,,,2005-07-01,SAR Establishment Day,,
,,,,,2005-09-19,Day Following Mid-autumn Festival*,,
,,,,,2005-10-01,Chinese National Day,,
,,,,,2010-12-25,Christmas Day,,
,,,,,2005-10-11,Chung Yeung Day*,,
,,,,,2005-12-26,Christmas Holiday,,
,,,,,2005-12-27,Christmas Day OBS,,
,,,,,2006-01-02,New Year's Day OBS,,
,,,,,2006-01-28,Lunar New Year 1,,
,,,,,2006-01-30,Lunar New Year 2,,
,,,,,2006-01-31,Lunar New Year 3,,
,,,,,2006-04-05,Ching Ming Festival,,
,,,,,2006-04-14,Good Friday,,
,,,,,2006-04-15,Holy Saturday,,
,,,,,2010-12-27,Christmas Holiday OBS,,
,,,,,2006-04-17,Easter Monday,,
,,,,,2006-05-01,Labour Day,,
,,,,,2006-05-05,Buddha's Birthday*,,
,,,,,2006-05-31,Tuen Ng Day*,,
,,,,,2006-07-01,SAR Establishment Day,,
,,,,,2006-10-02,Chinese National Day OBS,,
,,,,,2006-10-07,Day Following Mid-autumn Festival*,,
,,,,,2006-10-30,Chung Yeung Day*,,
,,,,,2006-12-25,Christmas Day,,
,,,,,2006-12-26,Christmas Holiday,,
,,,,,2011-01-01,New Year's Day,,
,,,,,2007-01-01,New Year's Day,,
,,,,,2007-02-17,Lunar New Year 1,,
,,,,,2007-02-19,Lunar New Year 2,,
,,,,,2007-02-20,Lunar New Year 3,,
,,,,,2007-04-05,Ching Ming Festival,,
,,,,,2007-04-06,Good Friday,,
,,,,,2007-04-07,Holy Saturday,,
,,,,,2007-04-09,Easter Monday,,
,,,,,2007-05-01,Labour Day,,
,,,,,2007-05-24,Buddha's Birthday*,,
,,,,,2011-02-03,Lunar New Year 1,,
,,,,,2007-06-19,Tuen Ng Day*,,
,,,,,2007-07-02,SAR Establishment Day OBS,,
,,,,,2007-09-26,Day Following Mid-autumn Festival*,,
,,,,,2007-10-01,Chinese National Day,,
,,,,,2007-10-19,Chung Yeung Day*,,
,,,,,2007-12-25,Christmas Day,,
,,,,,2007-12-26,Christmas Holiday,,
,,,,,2008-01-01,New Year's Day,,
,,,,,2008-02-07,Lunar New Year 1,,
,,,,,2008-02-08,Lunar New Year 2,,
,,,,,2011-02-04,Lunar New Year 2,,
,,,,,2008-02-09,Lunar New Year 3,,
,,,,,2008-03-21,Good Friday,,
,,,,,2008-03-22,Holy Saturday,,
,,,,,2008-03-24,Easter Monday,,
,,,,,2008-04-04,Ching Ming Festival,,
,,,,,2008-05-01,Labour Day,,
,,,,,2008-05-12,Buddha's Birthday*,,
,,,,,2008-06-09,Tuen Ng Day*,,
,,,,,2008-07-01,SAR Establishment Day,,
,,,,,2008-08-06,Market Closure,,
,,,,,2011-02-05,Lunar New Year 3,,
,,,,,2008-08-22,Market Closure,,
,,,,,2008-09-15,Day Following Mid-autumn Festival*,,
,,,,,2008-10-01,Chinese National Day,,
,,,,,2008-10-07,Chung Yeung Day*,,
,,,,,2008-12-25,Christmas Day,,
,,,,,2008-12-26,Christmas Holiday,,
,,,,,2010-02-13,Lunar New Year 1,,
,,,,,2011-09-29,Bank/Market Closure,,
,,,,,2012-10-02,Day Following Mid-autumn Festival*,,
,,,,,2013-01-01,New Year's Day,,
,,,,,2011-04-05,Ching Ming Festival,,
,,,,,2013-02-10,Lunar New Year 1,,
,,,,,2013-02-11,Lunar New Year 2,,
,,,,,2013-02-12,Lunar New Year 3,,
,,,,,2013-02-13,Lunar New Year 4,,
,,,,,2013-03-29,Good Friday,,
,,,,,2013-03-30,Holy Saturday,,
,,,,,2013-04-01,Easter Monday,,
,,,,,2013-04-04,Ching Ming Festival,,
,,,,,2013-05-01,Labour Day,,
,,,,,2013-05-17,Buddha's Birthday*,,
,,,,,2011-04-22,Good Friday,,
,,,,,2013-06-12,Tuen Ng Day*,,
,,,,,2013-07-01,SAR Establishment Day,,
,,,,,2013-08-14,Bank/Market Closure,,
,,,,,2013-09-20,Day Following Mid-autumn Festival*,,
,,,,,2013-10-01,Chinese National Day,,
,,,,,2013-10-14,Chung Yeung Day*,,
,,,,,2013-12-25,Christmas Day,,
,,,,,2013-12-26,Christmas Holiday,,
,,,,,2014-01-01,New Year's Day,,
,,,,,2014-01-31,Lunar New Year 1,,
,,,,,2011-04-23,Holy Saturday,,
,,,,,2009-01-28,Lunar New Year 3,,
,,,,,2014-02-01,Lunar New Year 2,,
,,,,,2014-02-02,Lunar New Year 3,,
,,,,,2014-02-03,Lunar New Year 4,,
,,,,,2014-04-05,Ching Ming Festival,,
,,,,,2014-04-18,Good Friday,,
,,,,,2014-04-19,Holy Saturday,,
,,,,,2014-04-21,Easter Monday,,
,,,,,2014-05-01,Labour Day,,
,,,,,2014-05-06,Buddha's Birthday*,,
,,,,,2014-06-02,Tuen Ng Day*,,
,,,,,2011-04-25,Easter Monday,,
,,,,,2014-07-01,SAR Establishment Day,,
,,,,,2014-09-09,Day Following Mid-autumn Festival*,,
,,,,,2014-10-01,Chinese National Day,,
,,,,,2014-10-02,Chung Yeung Day*,,
,,,,,2014-12-25,Christmas Day,,
,,,,,2014-12-26,Christmas Holiday,,
,,,,,2015-01-01,New Year's Day,,
,,,,,2015-02-19,Lunar New Year 1,,
,,,,,2015-02-20,Lunar New Year 2,,
,,,,,2015-02-21,Lunar New Year 3,,
,,,,,2011-05-02,Labour Day OBS,,
,,,,,2015-04-03,Good Friday,,
,,,,,2015-04-04,Holy Saturday,,
,,,,,2015-04-06,Easter Monday,,
,,,,,2015-04-07,Ching Ming Festival,,
,,,,,2015-05-01,Labour Day,,
,,,,,2015-05-25,Buddha's Birthday*,,
,,,,,2015-06-20,Tuen Ng Day*,,
,,,,,2015-07-01,SAR Establishment Day,,
,,,,,2015-09-28,Day Following Mid-autumn Festival*,,
,,,,,2015-10-01,Chinese National Day,,
,,,,,2011-05-10,Buddha's Birthday*,,
,,,,,2015-10-21,Chung Yeung Day*,,
,,,,,2015-12-25,Christmas Day,,
,,,,,2015-12-26,Christmas Holiday,,
,,,,,2016-01-01,New Year's Day,,
,,,,,2016-02-08,Lunar New Year 1,,
,,,,,2016-02-09,Lunar New Year 2,,
,,,,,2016-02-10,Lunar New Year 3,,
,,,,,2016-03-25,Good Friday,,
,,,,,2016-03-26,Holy Saturday,,
,,,,,2016-03-28,Easter Monday,,
,,,,,2011-06-06,Tuen Ng Day*,,
,,,,,2016-04-04,Ching Ming Festival,,
,,,,,2016-05-02,Labour Day OBS,,
,,,,,2016-05-14,Buddha's Birthday*,,
,,,,,2016-06-09,Tuen Ng Day*,,
,,,,,2016-07-01,SAR Establishment Day,,
,,,,,2016-09-16,Day Following Mid-autumn Festival*,,
,,,,,2016-10-01,Chinese National Day,,
,,,,,2016-10-10,Chung Yeung Day*,,
,,,,,2016-12-26,Christmas Holiday,,
,,,,,2016-12-27,Christmas Day OBS,,
,,,,,2011-07-01,SAR Establishment Day,,
,,,,,2017-01-02,New Year's Day OBS,,
,,,,,2017-01-28,Lunar New Year 1,,
,,,,,2017-01-29,Lunar New Year 2,,
,,,,,2017-01-30,Lunar New Year 3,,
,,,,,2017-01-31,Lunar New Year 4,,
,,,,,2017-04-05,Ching Ming Festival,,
,,,,,2017-04-14,Good Friday,,
,,,,,2017-04-15,Holy Saturday,,
,,,,,2017-04-17,Easter Monday,,
,,,,,2017-05-01,Labour Day,,
,,,,,2011-09-13,Day Following Mid-autumn Festival*,,
,,,,,2017-05-03,Buddha's Birthday*,,
,,,,,2017-05-30,Tuen Ng Day*,,
,,,,,2017-07-01,SAR Establishment Day,,
,,,,,2017-10-02,Chinese National Day OBS,,
,,,,,2017-10-05,Day Following Mid-autumn Festival*,,
,,,,,2017-10-28,Chung Yeung Day*,,
,,,,,2017-12-25,Christmas Day,,
,,,,,2017-12-26,Christmas Holiday,,
,,,,,2018-01-01,New Year's Day,,
,,,,,2018-02-16,Lunar New Year 1,,
,,,,,2011-10-01,Chinese National Day,,
,,,,,2018-02-17,Lunar New Year 2,,
,,,,,2018-02-18,Lunar New Year 3,,
,,,,,2018-02-19,Lunar New Year 4,,
,,,,,2018-03-30,Good Friday,,
,,,,,2018-03-31,Holy Saturday,,
,,,,,2018-04-02,Easter Monday,,
,,,,,2018-04-05,Ching Ming Festival,,
,,,,,2018-05-01,Labour Day,,
,,,,,2018-05-22,Buddha's Birthday*,,
,,,,,2018-06-18,Tuen Ng Day*,,
,,,,,2011-10-05,Chung Yeung Day*,,
,,,,,2018-07-02,SAR Establishment Day OBS,,
,,,,,2018-09-25,Day Following Mid-autumn Festival*,,
,,,,,2018-10-01,Chinese National Day,,
,,,,,2018-10-17,Chung Yeung Day*,,
,,,,,2018-12-25,Christmas Day,,
,,,,,2018-12-26,Christmas Holiday,,
,,,,,2019-01-01,New Year's Day,,
,,,,,2019-02-05,Lunar New Year 1,,
,,,,,2019-02-06,Lunar New Year 2,,
,,,,,2019-02-07,Lunar New Year 3,,
,,,,,2011-12-26,Christmas Holiday,,
,,,,,2019-04-05,Ching Ming Festival,,
,,,,,2019-04-19,Good Friday,,
,,,,,2019-04-20,Holy Saturday,,
,,,,,2019-04-22,Easter Monday,,
,,,,,2019-05-01,Labour Day,,
,,,,,2019-05-13,Buddha's Birthday*,,
,,,,,2019-06-07,Tuen Ng Day*,,
,,,,,2019-07-01,SAR Establishment Day,,
,,,,,2019-09-14,Day Following Mid-autumn Festival*,,
,,,,,2019-10-01,Chinese National Day,,
,,,,,2011-12-27,Christmas Day OBS,,
,,,,,2009-04-04,CopyFromFormex,,
,,,,,2019-10-07,Chung Yeung Day*,,
,,,,,2019-12-25,Christmas Day,,
,,,,,2019-12-26,Christmas Holiday,,
,,,,,2020-01-01,New Year's Day,,
,,,,,2020-01-25,Lunar New Year 1,,
,,,,,2020-01-26,Lunar New Year 2,,
,,,,,2020-01-27,Lunar New Year 3,,
,,,,,2020-01-28,Lunar New Year 4,,
,,,,,2020-04-06,Ching Ming Festival,,
,,,,,2020-04-10,Good Friday,,
,,,,,2012-01-02,New Year's Day OBS,,
,,,,,2020-04-11,Holy Saturday,,
,,,,,2020-04-13,Easter Monday,,
,,,,,2020-04-30,Buddha's Birthday*,,
,,,,,2020-05-01,Labour Day,,
,,,,,2020-06-25,Tuen Ng Day*,,
,,,,,2020-07-01,SAR Establishment Day,,
,,,,,2020-10-01,Chinese National Day,,
,,,,,2020-10-02,Day Following Mid-autumn Festival*,,
,,,,,2020-10-26,Chung Yeung Day*,,
,,,,,2020-12-25,Christmas Day,,
,,,,,2012-01-23,Lunar New Year 1,,
,,,,,2020-12-26,Christmas Holiday,,
,,,,,2021-01-01,New Year's Day,,
,,,,,2021-02-12,Lunar New Year 1,,
,,,,,2021-02-13,Lunar New Year 2,,
,,,,,2021-02-14,Lunar New Year 3,,
,,,,,2021-02-15,Lunar New Year 4,,
,,,,,2021-04-02,Good Friday,,
,,,,,2021-04-03,Holy Saturday,,
,,,,,2021-04-05,Easter Monday,,
,,,,,2021-04-06,Ching Ming Festival,,
,,,,,2012-01-24,Lunar New Year 2,,
,,,,,2021-05-01,Labour Day,,
,,,,,2021-05-19,Buddha's Birthday*,,
,,,,,2021-06-14,Tuen Ng Day*,,
,,,,,2021-07-01,SAR Establishment Day,,
,,,,,2021-09-22,Day Following Mid-autumn Festival*,,
,,,,,2021-10-01,Chinese National Day,,
,,,,,2021-10-14,Chung Yeung Day*,,
,,,,,2021-12-25,Christmas Day,,
,,,,,2021-12-27,Christmas Holiday OBS,,
,,,,,2022-01-01,New Year's Day,,
,,,,,2012-01-25,Lunar New Year 3,,
,,,,,2022-02-01,Lunar New Year 1,,
,,,,,2022-02-02,Lunar New Year 2,,
,,,,,2022-02-03,Lunar New Year 3,,
,,,,,2022-04-05,Ching Ming Festival,,
,,,,,2022-04-15,Good Friday,,
,,,,,2022-04-16,Holy Saturday,,
,,,,,2022-04-18,Easter Monday,,
,,,,,2022-05-02,Labour Day OBS,,
,,,,,2022-05-09,Buddha's Birthday*,,
,,,,,2022-06-03,Tuen Ng Day*,,
,,,,,2012-04-04,CopyFromFormex,,
,,,,,2022-07-01,SAR Establishment Day,,
,,,,,2022-09-12,Day Following Mid-autumn Festival*,,
,,,,,2022-10-01,Chinese National Day,,
,,,,,2022-10-04,Chung Yeung Day*,,
,,,,,2022-12-26,Christmas Holiday,,
,,,,,2022-12-27,Christmas Day OBS,,
,,,,,2023-01-02,New Year's Day OBS,,
,,,,,2023-01-22,Lunar New Year 1,,
,,,,,2023-01-23,Lunar New Year 2,,
,,,,,2023-01-24,Lunar New Year 3,,
,,,,,2012-04-06,Good Friday,,
,,,,,2023-01-25,Lunar New Year 4,,
,,,,,2023-04-05,Ching Ming Festival,,
,,,,,2023-04-07,Good Friday,,
,,,,,2023-04-08,Holy Saturday,,
,,,,,2023-04-10,Easter Monday,,
,,,,,2023-05-01,Labour Day,,
,,,,,2023-05-26,Buddha's Birthday*,,
,,,,,2023-06-22,Tuen Ng Day*,,
,,,,,2023-07-01,SAR Establishment Day,,
,,,,,2023-09-30,Day Following Mid-autumn Festival*,,
,,,,,2012-04-07,Holy Saturday,,
,,,,,2023-10-02,Chinese National Day OBS,,
,,,,,2023-10-23,Chung Yeung Day*,,
,,,,,2023-12-25,Christmas Day,,
,,,,,2023-12-26,Christmas Holiday,,
,,,,,2024-01-01,New Year's Day,,
,,,,,2024-02-10,Lunar New Year 1,,
,,,,,2024-02-11,Lunar New Year 2,,
,,,,,2024-02-12,Lunar New Year 3,,
,,,,,2024-02-13,Lunar New Year 4,,
,,,,,2024-03-29,Good Friday,,
,,,,,2012-04-09,Easter Monday,,
,,,,,2024-03-30,Holy Saturday,,
,,,,,2024-04-01,Easter Monday,,
,,,,,2024-04-04,Ching Ming Festival,,
,,,,,2024-05-01,Labour Day,,
,,,,,2024-05-15,Buddha's Birthday*,,
,,,,,2024-06-10,Tuen Ng Day*,,
,,,,,2024-07-01,SAR Establishment Day,,
,,,,,2024-09-18,Day Following Mid-autumn Festival*,,
,,,,,2024-10-01,Chinese National Day,,
,,,,,2024-10-11,Chung Yeung Day*,,
,,,,,2012-04-28,CopyFromFormex,,
,,,,,2024-12-25,Christmas Day,,
,,,,,2024-12-26,Christmas Holiday,,
,,,,,2025-01-01,New Year's Day,,
,,,,,2025-01-29,Lunar New Year 1,,
,,,,,2025-01-30,Lunar New Year 2,,
,,,,,2025-01-31,Lunar New Year 3,,
,,,,,2025-04-05,Ching Ming Festival,,
,,,,,2025-04-18,Good Friday,,
,,,,,2025-04-19,Holy Saturday,,
,,,,,2025-04-21,Easter Monday,,
,,,,,2012-05-01,Labour Day,,
,,,,,2009-04-10,Good Friday,,
,,,,,2025-05-01,Labour Day,,
,,,,,2025-05-05,Buddha's Birthday*,,
,,,,,2025-05-31,Tuen Ng Day*,,
,,,,,2025-07-01,SAR Establishment Day,,
,,,,,2025-10-01,Chinese National Day,,
,,,,,2025-10-07,Day Following Mid-autumn Festival*,,
,,,,,2025-10-29,Chung Yeung Day*,,
,,,,,2025-12-25,Christmas Day,,
,,,,,2025-12-26,Christmas Holiday,,
,,,,,2026-01-01,New Year's Day,,
,,,,,2012-06-23,Tuen Ng Day*,,
,,,,,2026-02-17,Lunar New Year 1,,
,,,,,2026-02-18,Lunar New Year 2,,
,,,,,2026-02-19,Lunar New Year 3,,
,,,,,2026-04-03,Good Friday,,
,,,,,2026-04-04,Holy Saturday,,
,,,,,2026-04-06,"Easter Monday,Ching Ming Festival",,
,,,,,2026-05-01,Labour Day,,
,,,,,2026-05-25,Buddha's Birthday*,,
,,,,,2026-06-19,Tuen Ng Day*,,
,,,,,2026-07-01,SAR Establishment Day,,
,,,,,2012-07-02,SAR Establishment Day OBS,,
,,,,,2026-09-26,Day Following Mid-autumn Festival*,,
