bond_id,face,issue_date,maturity_date,call_exercise_dates,put_exercise_dates,call_strike,put_strike,coupon_accrual,annual_coupon_rate,coupon_change_date,ref_curve,ref_tenor,margin_date,margin,floor,cap,coupon_type_change_date,style,group,is_tier2
LPBH2225004,100,6/29/2022,6/29/2025,6/29/2023;6/29/2024,6/29/2023;6/29/2024,100;100,100;100,1,0.044,,,,,,,,,Bermudan,LB_G2,0
TCBL2225009,100,6/21/2022,6/21/2025,6/21/2023,6/21/2023,100,100,1,0.042,,,,,,,,,European,LB_G2,0
TCBL2225008,100,6/20/2022,6/20/2025,6/20/2023,6/20/2023,100,100,1,0.042,,,,,,,,,European,LB_G2,0
MSBL2124003,100,6/7/2021,6/7/2024,6/7/2023,6/7/2023,100,100,1,0.04,,,,,,,,,European,LB_G3,0
VIBL2225004,100,5/31/2022,5/31/2025,5/31/2023,5/31/2023,100,100,1,0.04,,,,,,,,,European,LB_G2,0
TPBL2124006,100,5/31/2021,5/31/2024,5/31/2023,5/31/2023,100,100,1,0.038,,,,,,,,,European,LB_G2,0
TPBL2124005,100,5/28/2021,5/28/2024,5/28/2023,5/28/2023,100,100,1,0.038,,,,,,,,,European,LB_G2,0
TPBL2225005,100,5/25/2022,5/25/2025,5/25/2023,5/25/2023,100,100,1,0.04,,,,,,,,,European,LB_G2,0
TPBL2225003,100,5/24/2022,5/24/2025,5/24/2023,5/24/2023,100,100,1,0.04,,,,,,,,,European,LB_G2,0
MSBL2124001,100,5/18/2021,5/18/2024,5/18/2023,5/18/2023,100,100,1,0.04,,,,,,,,,European,LB_G3,0
VPBL2124012,100,4/28/2021,4/28/2024,4/28/2023,4/28/2023,100,100,1,0.039,,,,,,,,,European,LB_G2,0
VPBL2124011,100,4/26/2021,4/26/2024,4/26/2023,4/26/2023,100,100,1,0.039,,,,,,,,,European,LB_G2,0
SHBH2123018,100,12/21/2021,12/21/2023,12/22/2022,12/22/2022,100,100,1,0.038,,,,,,,,,European,LB_G3,0
TCBB2023003,100,12/22/2020,12/22/2023,12/22/2022,12/22/2022,100,100,1,0.04,,,,,,,,,European,LB_G2,0
SHBH2123017,100,12/20/2021,12/20/2023,12/21/2022,12/21/2022,100,100,1,0.038,,,,,,,,,European,LB_G3,0
TPBANKBOND_A4_171220,100,12/17/2020,12/17/2023,12/17/2022,12/17/2022,100,100,1,0.046,,,,,,,,,European,LB_G2,0
VPBL2124026,100,12/16/2021,12/16/2024,12/16/2022,12/16/2022,100,100,1,0.024,,,,,,,,,European,LB_G2,0
OCBH2023009,100,12/15/2020,12/15/2023,12/15/2022,12/15/2022,100,100,1,0.046,,,,,,,,,European,LB_G3,0
OCBH2023008,100,12/14/2020,12/14/2023,12/14/2022,12/14/2022,100,100,1,0.046,,,,,,,,,European,LB_G3,0
TPBANKBOND_A4_101220,100,12/10/2020,12/10/2023,12/10/2022,12/10/2022,100,100,1,0.046,,,,,,,,,European,LB_G2,0
SHBH2123011,100,10/6/2021,10/6/2023,10/7/2022,10/7/2022,100,100,1,0.038,,,,,,,,,European,LB_G3,0
SHBH2123009,100,9/22/2021,9/22/2023,9/23/2022,9/23/2022,100,100,1,0.038,,,,,,,,,European,LB_G3,0
SHBH2123008,100,9/15/2021,9/15/2023,9/16/2022,9/16/2022,100,100,1,0.038,,,,,,,,,European,LB_G3,0
MSBL2225001,100,4/18/2022,4/18/2025,,4/18/2024,,100,1,0.04,,,,,,,,,European,LB_G3,0
VPFCH2123011,100,7/14/2021,7/14/2023,,7/14/2022,,100,1,0.0724,,,,,,,,,European,NBFI,0
